Name:,Ricardo Amaral
Email:,rna5137@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
1,V Nb Ta Mo,BCC,AC,None,compressive yield strength,EXP,strain rate 1e-3,298,1326000000.0,32000000.0,Pa,F6,10.1002/adem.202402021
1,V Nb Ta Mo,BCC,AC,None,compressive ductility,EXP,strain rate 1e-3,298,30.1,1.7,%,F6,10.1002/adem.202402021
1,V0.263 Nb0.263 Ta0.263 Mo0.211,BCC,AC,None,compressive yield strength,EXP,strain rate 1e-3,298,1214000000.0,26000000.0,Pa,F6,10.1002/adem.202402021
1,V0.263 Nb0.263 Ta0.263 Mo0.211,BCC,AC,None,compressive ductility,EXP,strain rate 1e-3,298,44.2,0.8,%,F6,10.1002/adem.202402021
1,V0.238 Nb0.238 Ta0.238 Mo0.286,BCC,AC,None,compressive yield strength,EXP,strain rate 1e-3,298,1465000000.0,39000000.0,Pa,F6,10.1002/adem.202402021
1,V0.238 Nb0.238 Ta0.238 Mo0.286,BCC,AC,None,compressive ductility,EXP,strain rate 1e-3,298,20.7,2.3,%,F6,10.1002/adem.202402021
1,V Nb Ta Mo,BCC,AC,None,compressive yield strength,EXP,strain rate 1e-3,1773,381740000.0,None,Pa,T2,10.1002/adem.202402021
1,V Nb Ta Mo,BCC,AC,None,compressive yield strength,EXP,strain rate 1e-2,1773,534919999.99999994,None,Pa,T2,10.1002/adem.202402021
1,V0.263 Nb0.263 Ta0.263 Mo0.211,BCC,AC,None,compressive yield strength,EXP,strain rate 1e-3,1773,335470000.0,None,Pa,T2,10.1002/adem.202402021
1,V0.263 Nb0.263 Ta0.263 Mo0.211,BCC,AC,None,compressive yield strength,EXP,strain rate 1e-2,1773,433790000.0,None,Pa,T2,10.1002/adem.202402021
1,V0.238 Nb0.238 Ta0.238 Mo0.286,BCC,AC,None,compressive yield strength,EXP,strain rate 1e-3,1773,412570000.0,None,Pa,T2,10.1002/adem.202402021
1,V0.238 Nb0.238 Ta0.238 Mo0.286,BCC,AC,None,compressive yield strength,EXP,strain rate 1e-2,1773,577870000.0,None,Pa,T2,10.1002/adem.202402021
2,Fe Co Cr Ni,FCC,AM,Laser-based Additive Manufacturing,tensile yield strength,EXP,strain rate 3e-4,298,533000000.0,None,Pa,T1,10.1016/j.ijplas.2024.104142
2,Fe Co Cr Ni,FCC,AM,Laser-based Additive Manufacturing,ultimate tensile strength,EXP,strain rate 3e-4,298,719000000.0,None,Pa,T1,10.1016/j.ijplas.2024.104142
2,Fe Co Cr Ni,FCC,AM,Laser-based Additive Manufacturing,tensile ductility,EXP,strain rate 3e-4,298,18.15,None,%,T1,10.1016/j.ijplas.2024.104142
2,Fe Co Cr Ni,FCC,AM,Laser-based Additive Manufacturing,total tensile ductility,EXP,strain rate 3e-4,298,19.82,None,%,T1,10.1016/j.ijplas.2024.104142
2,Fe Co Cr Ni,FCC,AM,Laser-based Additive Manufacturing,tensile yield strength,EXP,strain rate 3e-4,873,398000000.0,None,Pa,T1,10.1016/j.ijplas.2024.104142
2,Fe Co Cr Ni,FCC,AM,Laser-based Additive Manufacturing,ultimate tensile strength,EXP,strain rate 3e-4,873,420000000.0,None,Pa,T1,10.1016/j.ijplas.2024.104142
2,Fe Co Cr Ni,FCC,AM,Laser-based Additive Manufacturing,tensile ductility,EXP,strain rate 3e-4,873,1.2,None,%,T1,10.1016/j.ijplas.2024.104142
2,Fe Co Cr Ni,FCC,AM,Laser-based Additive Manufacturing,total tensile ductility,EXP,strain rate 3e-4,873,1.25,None,%,T1,10.1016/j.ijplas.2024.104142
2,Fe0.244 Co0.244 Cr0.244 Ni0.244 Mo0.024,FCC+Sigma,AM,Laser-based Additive Manufacturing,tensile yield strength,EXP,strain rate 3e-4,298,609000000.0,None,Pa,T1,10.1016/j.ijplas.2024.104142
2,Fe0.244 Co0.244 Cr0.244 Ni0.244 Mo0.024,FCC+Sigma,AM,Laser-based Additive Manufacturing,ultimate tensile strength,EXP,strain rate 3e-4,298,776000000.0,None,Pa,T1,10.1016/j.ijplas.2024.104142
2,Fe0.244 Co0.244 Cr0.244 Ni0.244 Mo0.024,FCC+Sigma,AM,Laser-based Additive Manufacturing,tensile ductility,EXP,strain rate 3e-4,298,27.46,None,%,T1,10.1016/j.ijplas.2024.104142
2,Fe0.244 Co0.244 Cr0.244 Ni0.244 Mo0.024,FCC+Sigma,AM,Laser-based Additive Manufacturing,total tensile ductility,EXP,strain rate 3e-4,298,36.51,None,%,T1,10.1016/j.ijplas.2024.104142
2,Fe0.244 Co0.244 Cr0.244 Ni0.244 Mo0.024,FCC+Sigma,AM,Laser-based Additive Manufacturing,tensile yield strength,EXP,strain rate 3e-4,873,407000000.0,None,Pa,T1,10.1016/j.ijplas.2024.104142
2,Fe0.244 Co0.244 Cr0.244 Ni0.244 Mo0.024,FCC+Sigma,AM,Laser-based Additive Manufacturing,ultimate tensile strength,EXP,strain rate 3e-4,873,473000000.0,None,Pa,T1,10.1016/j.ijplas.2024.104142
2,Fe0.244 Co0.244 Cr0.244 Ni0.244 Mo0.024,FCC+Sigma,AM,Laser-based Additive Manufacturing,tensile ductility,EXP,strain rate 3e-4,873,6.71,None,%,T1,10.1016/j.ijplas.2024.104142
2,Fe0.244 Co0.244 Cr0.244 Ni0.244 Mo0.024,FCC+Sigma,AM,Laser-based Additive Manufacturing,total tensile ductility,EXP,strain rate 3e-4,873,8.23,None,%,T1,10.1016/j.ijplas.2024.104142
2,Fe0.233 Co0.233 Cr0.233 Ni0.233 Mo0.07,FCC+Sigma,AM,Laser-based Additive Manufacturing,tensile yield strength,EXP,strain rate 3e-4,298,698000000.0,None,Pa,T1,10.1016/j.ijplas.2024.104142
